name,slug,province_id
اسکو,اسکو,1
اهر,اهر,1
ایلخچی,ایلخچی,1
آبش احمد,آبش-احمد,1
آذرشهر,آذرشهر,1
آقکند,آقکند,1
باسمنج,باسمنج,1
بخشایش,بخشایش,1
بستان آباد,بستان-آباد,1
بناب,بناب,1
بناب جدید,بناب-جدید,1
تبریز,تبریز,1
ترک,ترک,1
ترکمانچای,ترکمانچای,1
تسوج,تسوج,1
تیکمه داش,تیکمه-داش,1
جلفا,جلفا,1
خاروانا,خاروانا,1
خامنه,خامنه,1
خراجو,خراجو,1
خسروشهر,خسروشهر,1
خضرلو,خضرلو,1
خمارلو,خمارلو,1
خواجه,خواجه,1
دوزدوزان,دوزدوزان,1
زرنق,زرنق,1
زنوز,زنوز,1
سراب,سراب,1
سردرود,سردرود,1
سهند,سهند,1
سیس,سیس,1
سیه رود,سیه-رود,1
شبستر,شبستر,1
شربیان,شربیان,1
شرفخانه,شرفخانه,1
شندآباد,شندآباد,1
صوفیان,صوفیان,1
عجب شیر,عجب-شیر,1
قره آغاج,قره-آغاج,1
کشکسرای,کشکسرای,1
کلوانق,کلوانق,1
کلیبر,کلیبر,1
کوزه کنان,کوزه-کنان,1
گوگان,گوگان,1
لیلان,لیلان,1
مراغه,مراغه,1
مرند,مرند,1
ملکان,ملکان,1
ملک کیان,ملک-کیان,1
ممقان,ممقان,1
مهربان,مهربان,1
میانه,میانه,1
نظرکهریزی,نظرکهریزی,1
هادی شهر,هادی-شهر,1
هرگلان,هرگلان,1
هریس,هریس,1
هشترود,هشترود,1
هوراند,هوراند,1
وایقان,وایقان,1
ورزقان,ورزقان,1
یامچی,یامچی,1
ارومیه,ارومیه,2
اشنویه,اشنویه,2
ایواوغلی,ایواوغلی,2
آواجیق,آواجیق,2
باروق,باروق,2
بازرگان,بازرگان,2
بوکان,بوکان,2
پلدشت,پلدشت,2
پیرانشهر,پیرانشهر,2
تازه شهر,تازه-شهر,2
تکاب,تکاب,2
چهاربرج,چهاربرج,2
خوی,خوی,2
دیزج دیز,دیزج-دیز,2
ربط,ربط,2
سردشت,آذربایجان-غربی-سردشت,2
سرو,سرو,2
سلماس,سلماس,2
سیلوانه,سیلوانه,2
سیمینه,سیمینه,2
سیه چشمه,سیه-چشمه,2
شاهین دژ,شاهین-دژ,2
شوط,شوط,2
فیرورق,فیرورق,2
قره ضیاءالدین,قره-ضیاءالدین,2
قطور,قطور,2
قوشچی,قوشچی,2
کشاورز,کشاورز,2
گردکشانه,گردکشانه,2
ماکو,ماکو,2
محمدیار,محمدیار,2
محمودآباد,آذربایجان-غربی-محمودآباد,2
مهاباد,آذربایجان-غربی-مهاباد,2
میاندوآب,میاندوآب,2
میرآباد,میرآباد,2
نالوس,نالوس,2
نقده,نقده,2
نوشین,نوشین,2
اردبیل,اردبیل,3
